# FGSM attack with model_dataset(20000 images)
# and valiudation_images(2100) 20 epsilon
# Epsilon Model_accuracy Model_adv_coverage Vali_adv_coverage
# Model_dataset & validation set: 0.3916
0.000000000000000000e+00 9.895238094031810760e-01 3.916000127792358398e-01
5.263157894736841813e-02 9.890476185828447342e-01 4.433999955654144287e-01
1.052631578947368363e-01 9.876190479844808578e-01 4.623999893665313721e-01
1.578947368421052544e-01 9.871428571641445160e-01 4.478499889373779297e-01
2.105263157894736725e-01 9.857142856344580650e-01 4.136500060558319092e-01
2.631578947368420907e-01 9.833333324640989304e-01 3.600000143051147461e-01
3.157894736842105088e-01 9.823809526860713959e-01 2.832500040531158447e-01
3.684210526315789269e-01 9.785714279860258102e-01 2.025000005960464478e-01
4.210526315789473450e-01 9.757142849266529083e-01 1.300999969244003296e-01
4.736842105263157632e-01 9.628571420907974243e-01 1.126499995589256287e-01
5.263157894736841813e-01 9.328571408987045288e-01 9.785000234842300415e-02
5.789473684210526550e-01 8.842857107520103455e-01 8.020000159740447998e-02
6.315789473684210176e-01 7.828571498394012451e-01 6.570000201463699341e-02
6.842105263157893802e-01 6.809523701667785645e-01 5.139999836683273315e-02
7.368421052631578538e-01 5.699999928474426270e-01 3.875000029802322388e-02
7.894736842105263275e-01 4.700000286102294922e-01 2.820000052452087402e-02
8.421052631578946901e-01 4.004762172698974609e-01 2.015000022947788239e-02
8.947368421052630527e-01 3.319047689437866211e-01 1.410000026226043701e-02
9.473684210526315264e-01 2.871428728103637695e-01 9.200000204145908356e-03
1.000000000000000000e+00 2.461904883384704590e-01 6.250000093132257462e-03
