# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 50% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972380399703979492e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.100285768508911133e+00 4.192000031471252441e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.156095266342163086e+00 4.309499859809875488e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.158285617828369141e+00 4.261499941349029541e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.114857196807861328e+00 4.107500016689300537e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.026857137680053711e+00 3.840000033378601074e-01
3.157894736842105088e-01 9.823809526860713959e-01 8.997142910957336426e-01 3.449499905109405518e-01
3.684210526315789269e-01 9.785714279860258102e-01 7.727619409561157227e-01 3.066999912261962891e-01
4.210526315789473450e-01 9.757142849266529083e-01 6.636191010475158691e-01 2.730499804019927979e-01
4.736842105263157632e-01 9.628571420907974243e-01 6.433333158493041992e-01 2.654999792575836182e-01
5.263157894736841813e-01 9.328571408987045288e-01 6.264762282371520996e-01 2.588999867439270020e-01
5.789473684210526550e-01 8.842857107520103455e-01 6.068570613861083984e-01 2.517499923706054688e-01
6.315789473684210176e-01 7.828571498394012451e-01 5.920951962471008301e-01 2.463499903678894043e-01
6.842105263157893802e-01 6.809523701667785645e-01 5.755238533020019531e-01 2.403499931097030640e-01
7.368421052631578538e-01 5.699999928474426270e-01 5.586666464805603027e-01 2.344999909400939941e-01
7.894736842105263275e-01 4.700000286102294922e-01 5.440952181816101074e-01 2.303499877452850342e-01
8.421052631578946901e-01 4.004762172698974609e-01 5.306666493415832520e-01 2.264999896287918091e-01
8.947368421052630527e-01 3.319047689437866211e-01 5.202857255935668945e-01 2.237999886274337769e-01
9.473684210526315264e-01 2.871428728103637695e-01 5.104761719703674316e-01 2.214999943971633911e-01
1.000000000000000000e+00 2.461904883384704590e-01 5.024761557579040527e-01 2.197999954223632812e-01
