# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 25% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972381591796875000e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.050476193428039551e+00 4.065999984741210938e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.080095291137695312e+00 4.142999947071075439e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.082666754722595215e+00 4.132999777793884277e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.059999942779541016e+00 4.054999947547912598e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.014666676521301270e+00 3.912499845027923584e-01
3.157894736842105088e-01 9.823809526860713959e-01 9.463810324668884277e-01 3.710500001907348633e-01
3.684210526315789269e-01 9.785714279860258102e-01 8.818095326423645020e-01 3.527500033378601074e-01
4.210526315789473450e-01 9.757142849266529083e-01 8.219999670982360840e-01 3.350999951362609863e-01
4.736842105263157632e-01 9.628571420907974243e-01 8.121904730796813965e-01 3.316499888896942139e-01
5.263157894736841813e-01 9.328571408987045288e-01 8.024761676788330078e-01 3.285499811172485352e-01
5.789473684210526550e-01 8.842857107520103455e-01 7.923809289932250977e-01 3.255999982357025146e-01
6.315789473684210176e-01 7.828571498394012451e-01 7.843809127807617188e-01 3.231999874114990234e-01
6.842105263157893802e-01 6.809523701667785645e-01 7.761904597282409668e-01 3.202999830245971680e-01
7.368421052631578538e-01 5.699999928474426270e-01 7.682856321334838867e-01 3.181000053882598877e-01
7.894736842105263275e-01 4.700000286102294922e-01 7.599999904632568359e-01 3.159999847412109375e-01
8.421052631578946901e-01 4.004762172698974609e-01 7.527619004249572754e-01 3.141500055789947510e-01
8.947368421052630527e-01 3.319047689437866211e-01 7.474285364151000977e-01 3.127000033855438232e-01
9.473684210526315264e-01 2.871428728103637695e-01 7.419999837875366211e-01 3.117499947547912598e-01
1.000000000000000000e+00 2.461904883384704590e-01 7.380000352859497070e-01 3.109000027179718018e-01
